"Reference","Value","PartNumber","Datasheet","Description","Color"
"C1","100u","0201-0200-00001","${DATASHEETS}/UWT.pdf","CAP ALUM 100uF 50V 140mA@120Hz ±20% SMD,D8xL10mm Aluminum Electrolytic Capacitors - SMD ROHS",""
"C2","10u","","~","Unpolarized Capacitor",""
"C3","10u","","~","Unpolarized Capacitor",""
"C4","10u","","~","Unpolarized Capacitor",""
"C5","1u","","~","Unpolarized Capacitor",""
"C6","10u","0201-0300-00008","${DATASHEETS}/TCJ.pdf","10 µF Molded Tantalum Polymer Capacitor 35 V 1210 (3528 Metric) 200mOhm @ 100kHz",""
"C7","10u","0201-0300-00008","${DATASHEETS}/TCJ.pdf","10 µF Molded Tantalum Polymer Capacitor 35 V 1210 (3528 Metric) 200mOhm @ 100kHz",""
"C8","100u","0201-0200-00018","~","CAP ALUM 100uF 25V 6.3x7.7 Hilitchi Kit",""
"C9","1u","","~","Unpolarized Capacitor",""
"C10","330n","","~","Unpolarized Capacitor",""
"C11","330n","","~","Unpolarized Capacitor",""
"C12","1u","","~","Unpolarized Capacitor",""
"C13","100n","","~","Unpolarized Capacitor",""
"C14","1u","","~","Unpolarized Capacitor",""
"C15","100n","","~","Unpolarized Capacitor",""
"C16","100n","","~","Unpolarized Capacitor",""
"C17","100n","","~","Unpolarized Capacitor",""
"C18","100n","","~","Unpolarized Capacitor",""
"C19","100n","","~","Unpolarized Capacitor",""
"C20","100n","","~","Unpolarized Capacitor",""
"C21","100n","","~","Unpolarized Capacitor",""
"C22","100n","","~","Unpolarized Capacitor",""
"C23","100n","","~","Unpolarized Capacitor",""
"C24","100n","","~","Unpolarized Capacitor",""
"C25","100n","","~","Unpolarized Capacitor",""
"C26","100n","","~","Unpolarized Capacitor",""
"C27","1u","","~","Unpolarized Capacitor",""
"C28","1u","","~","Unpolarized Capacitor",""
"C29","1u","","~","Unpolarized Capacitor",""
"C30","1u","","~","Unpolarized Capacitor",""
"C31","1u","","~","Unpolarized Capacitor",""
"C32","1u","","~","Unpolarized Capacitor",""
"C33","1u","","~","Unpolarized Capacitor",""
"C34","1u","","~","Unpolarized Capacitor",""
"C35","100n","","~","Unpolarized Capacitor",""
"C36","100n","","~","Unpolarized Capacitor",""
"C37","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C38","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C39","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C40","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C41","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C42","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C43","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C44","1u","0201-0100-00050","${DATASHEETS}/CL05A105KO5NNNC.pdf","CAP CER 1UF 16V X5R 0402",""
"C45","22u","0201-0100-00067","${DATASHEETS}/C3216X5R1V226M160AC.pdf","CAP CER 22UF 35V X5R 1206",""
"C46","22u","0201-0100-00067","${DATASHEETS}/C3216X5R1V226M160AC.pdf","CAP CER 22UF 35V X5R 1206",""
"C47","22u","0201-0100-00067","${DATASHEETS}/C3216X5R1V226M160AC.pdf","CAP CER 22UF 35V X5R 1206",""
"C48","22u","0201-0100-00067","${DATASHEETS}/C3216X5R1V226M160AC.pdf","CAP CER 22UF 35V X5R 1206",""
"C49","4u7","0201-0100-00074","${DATASHEETS}/CL21A475KLCLQNC.pdf","CAP CER 4.7UF 35V X5R 0805",""
"D1","CZ2-0603-GREEN","0900-0000-00038","~","LED SMD Green 0603 Chanzon","GREEN"
"D2","CZ2-0603-GREEN","0900-0000-00038","~","LED SMD Green 0603 Chanzon","GREEN"
"D3","CZ1-0603-BLUE","0900-0000-00037","~","LED SMD Blue 0603 Chanzon","BLUE"
"D4","CZ3-0603-ORANGE","0900-0000-00039","~","LED SMD Orange 0603 Chanzon","ORANGE"
"D5","CZ3-0603-ORANGE","0900-0000-00039","~","LED SMD Orange 0603 Chanzon","ORANGE"
"D6","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D7","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D8","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D9","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D10","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D11","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D12","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D13","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D14","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D15","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D16","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D17","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D18","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D19","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D20","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D21","JK3030AWT-P-H40EA0000-N0000001","0900-0000-00021","${DATASHEETS}/JSeries-3030.pdf","LED J NEUTRAL WHT 4000K SMD","WHITE"
"D22","CZ1-0603-BLUE","0900-0000-00037","~","LED SMD Blue 0603 Chanzon","BLUE"
"J1","12402012E212A","0318-0000-00020","${DATASHEETS}/12402012E212A,pdf","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",""
"JPR1","SWD-HDR-5","","~","SWD Header 5Pin Wo/ SWO",""
"Q1","CSD87503Q3E","1806-0000-00001","${DATASHEETS}/CSD87503Q3E.pdf","2N-CH MOSFET Array 30V 10A (Ta) 15.6W Surface Mount 8-VSON (3.3x3.3)",""
"R1","10K","","~","Resistor",""
"R2","10m","0204-0200-00005","${DATASHEETS}/CSRN.pdf","10 mOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Current Sense Thick Film",""
"R3","10K","","~","Resistor",""
"R5","100","","~","Resistor",""
"R6","5K1","","~","Resistor",""
"R7","5K1","","~","Resistor",""
"R8","10K","","~","Resistor",""
"R9","10K","","~","Resistor",""
"R10","1K","","~","Resistor",""
"R11","1K","","~","Resistor",""
"R12","1K","","~","Resistor",""
"R13","1K","","~","Resistor",""
"R14","10K","","~","Resistor",""
"R15","3K3","","~","Resistor",""
"R16","3K3","","~","Resistor",""
"R17","100K","","~","Resistor",""
"R18","100K","","~","Resistor",""
"R19","PTV09A-2030F-A103","0404-0000-00035","${DATASHEETS}/PTV09.pdf","POT 10K OHM 1/20W CARBON LOG",""
"R20","3","","~","Resistor",""
"R21","3","","~","Resistor",""
"R22","3","","~","Resistor",""
"R23","3","","~","Resistor",""
"R24","3","","~","Resistor",""
"R25","3","","~","Resistor",""
"R26","3","","~","Resistor",""
"R27","3","","~","Resistor",""
"R28","1K","","~","Resistor",""
"R29","100K","","~","Resistor",""
"R30","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R31","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R32","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R33","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R34","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R35","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R36","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"R37","10K","0204-0000-00016","${DATASHEETS}/RC-Series.pdf","RES 10K OHM 5% 1/16W 0402",""
"RT1","10K","1509-0000-00006","${DATASHEETS}/ERTJ-Series.pdf","THERMISTOR NTC 10KOHM 3380K 0402",""
"S1","TL1105VF250Q","0401-0000-00029","${DATASHEETS}/TL1105.pdf","SWITCH TACTILE SPST-NO 0.05A 12V",""
"S2","TL1105VF250Q","0401-0000-00029","${DATASHEETS}/TL1105.pdf","SWITCH TACTILE SPST-NO 0.05A 12V",""
"SW1","TL3365AF180QG","0401-0000-00007","${DATASHEETS}/TL3365.pdf","Tactile Switch SPST-NO Top Actuated Surface Mount",""
"U1","UA78M33CKVURG3","0811-0401-00020","${DATASHEETS}/UA78Mxx.pdf","Linear Voltage Regulator IC Positive Fixed 1 Output 500mA TO-252-3",""
"U2","AP33772DKZ-13","0811-0600-00001","${DATASHEETS}/AP33772.pdf","USB, Type-C Controller PMIC W-QFN4040-24 (Type A1)",""
"U3","STM32F072CBU6","0807-0200-00002","${DATASHEETS}/STM32F072.pdf","STM32F0 ARM Cortex-M0 32-Bit Single-Core 48MHz 128KB (128K x 8) FLASH UFQFP-48 (7x7)",""
"U4","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U5","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U6","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U7","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U8","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U9","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U10","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U11","NCR321UX","0811-0300-00005","${DATASHEETS}/NCR320U.pdf","LED Driver IC 1 Output Linear Constant Current PWM Dimming 250mA TSOP-6",""
"U12","TC7PZ17FU","0806-0200-00010","${DATASHEETS}/TC7PZ17FU.pdf","Buffer, Non-Inverting 2 Element 1 Bit per Element Push-Pull Output SC-70-6",""
"Y1","16MHz","1203-0000-00001","${DATASHEETS}/CSTNE16M0V53L000R0.pdf","16 MHz Ceramic Resonator Built in Capacitor 15 pF ±0.2% 40 Ohms -40°C ~ 85°C Surface Mount",""
